fold,service_lookup_id,K,C,A_start,level,key,training_samples,training_runs
2,188,6,4,2,KCA_start,"(6, 4, 2)",7101,4
2,189,6,4,3,KCA_start,"(6, 4, 3)",21546,4
2,190,6,5,0,KCA_start,"(6, 5, 0)",6922,4
2,191,6,5,1,KCA_start,"(6, 5, 1)",6979,4
2,192,6,5,2,KCA_start,"(6, 5, 2)",6984,4
2,193,6,5,3,KCA_start,"(6, 5, 3)",6987,4
2,194,6,5,4,KCA_start,"(6, 5, 4)",13983,4
2,195,6,6,0,KCA_start,"(6, 6, 0)",6923,4
2,196,6,6,1,KCA_start,"(6, 6, 1)",6936,4
2,197,6,6,2,KCA_start,"(6, 6, 2)",6944,4
